image,caption
IMG_0225.JPG,A student use computer on white table .
IMG_0225.JPG,A man in a white shirt is play computer .
IMG_0225.JPG,A student install programe on computer . 
IMG_0225.JPG,A student sitting on the chair and work on computer .
IMG_0225.JPG,A man in white shirt work on a  brightly lit computer .
IMG_0226.JPG,Two man do something near the table .
IMG_0226.JPG,One man in a blue shirt and one man in green shirt stand around table .
IMG_0226.JPG,A man in blue shirt was bending over to pick up thing on a white table .
IMG_0226.JPG,A man in blue shirt wear sport pants stand in front of white table .
IMG_0226.JPG,two man stand opposite each other with a table in the middle .
IMG_0227.JPG,A man in a black shirt sitting on the chair .
IMG_0227.JPG,A man in a black shirt working on computer .
IMG_0227.JPG,notebook on the table in front of the man .
IMG_0227.JPG,Ice bucket is on the table near notebook .
IMG_0227.JPG,The short hair man sitting on the chair near notebook .
IMG_0228.JPG,Three bottles are on the table .
IMG_0228.JPG,On the table have bottles and glass .
IMG_0228.JPG,A glass put near the bottles .
IMG_0228.JPG,There are many color of bottles .
IMG_0228.JPG,Bottles are on the white table .
IMG_0229.JPG,A man on black shirt is walking on the ground .
IMG_0229.JPG,A man is walking on the floor .
IMG_0229.JPG,One man is walking and his friends are sitting on the chair .
IMG_0229.JPG,A man is walking on the room .
IMG_0229.JPG,A man on black shirt is coming to the front .
IMG_0230.JPG,A man in green shirt sitting on the chair .
IMG_0230.JPG,A man is sitting behind white table .
IMG_0230.JPG,Wires are on the table in front of a man .
IMG_0230.JPG,White table is in front of the man .
IMG_0230.JPG,A man is sitting behind white table .
IMG_0231.JPG,A man is sitting on the chair .
IMG_0231.JPG,A man in black shirt is sitting on the chair .
IMG_0231.JPG,A man is sitting in the room .
IMG_0231.JPG,A man is point to the corner of the room .
IMG_0231.JPG,On the table have a man on black shirt .
IMG_0232.JPG,A man in blue shirt is do something on computer .
IMG_0232.JPG,A man is sitting in front of computer .
IMG_0232.JPG,Computer are on the table and a man is sitting on table .
IMG_0232.JPG,A man in blue shirt is sitting on the chair . 
IMG_0232.JPG,A man do some work on his computer .
IMG_0233.JPG,A man wearing earphone .
IMG_0233.JPG,A man sitting on the chair .
IMG_0233.JPG,A man is cutting the model .
IMG_0233.JPG,A man in green shirt is cutting model .
IMG_0233.JPG,The man is sitting with his back turned .
IMG_0234.JPG,A doll is on the white table .
IMG_0234.JPG,A penguin doll is on the table .
IMG_0234.JPG,On the white table have penguin doll .
